HRT_days,CH4_HRT,Temp_C,CH4_Temp,OLR,CH4_OLR
10.0,6.896802325581396,30.0,14.723531259817781,1.0,6.167150319210679
10.408163265306122,7.239627867799155,30.244897959183675,14.757294774110598,1.0816326530612246,6.672131224487562
10.816326530612244,7.5833374086793315,30.489795918367346,14.790246985426172,1.163265306122449,7.17711247779383
11.224489795918368,7.927851531890334,30.73469387755102,14.82241678878604,1.2448979591836735,7.682094010760481
11.63265306122449,8.27310005684145,30.979591836734695,14.853831723160217,1.3265306122448979,8.187075771825697
12.040816326530612,8.619020734092448,31.224489795918366,14.884518050094524,1.4081632653061225,8.692057721369242
12.448979591836736,8.965558155810117,31.46938775510204,14.914500826929851,1.489795918367347,9.197039828444604
12.857142857142858,9.312662841024096,31.714285714285715,14.943803975042353,1.5714285714285714,9.702022068528587
13.26530612244898,9.66029046381835,31.959183673469386,14.972450343495186,1.6530612244897958,10.207004421936984
13.673469387755102,10.008401199063753,32.20408163265306,15.00046176845775,1.7346938775510203,10.711986872687124
14.081632653061224,10.356959165325637,32.44897959183673,15.027859128717168,1.816326530612245,11.21696940766687
14.489795918367347,10.705931948515403,32.69387755102041,15.054662397578591,1.8979591836734693,11.721952016017859
14.89795918367347,11.055290192955383,32.93877551020408,15.080890691425475,1.9795918367346939,12.226934688671232
15.306122448979592,11.405007248983445,33.183673469387756,15.106562315187892,2.061224489795918,12.731917417993554
15.714285714285715,11.755058868182902,33.42857142857143,15.131694804946212,2.142857142857143,13.236900197513648
16.122448979591837,12.10542293889428,33.673469387755105,15.156304967878464,2.224489795918367,13.741883021709482
16.53061224489796,12.45607925593153,33.91836734693877,15.18040891974267,2.3061224489795915,14.246865885840316
16.93877551020408,12.807009319451028,34.16326530612245,15.204022120069776,2.387755102040816,14.75184878581324
17.346938775510203,13.158196158756798,34.40816326530612,15.227159405228656,2.4693877551020407,15.256831718076176
17.755102040816325,13.509624177508154,34.6530612244898,15.249835019511867,2.5510204081632653,15.761814679531403
18.163265306122447,13.861279017357017,34.89795918367347,15.272062644378932,2.63265306122449,16.26679766746515
18.57142857142857,14.213147437504768,35.14285714285714,15.293855425983383,2.7142857142857144,16.771780679489925
18.979591836734695,14.56521720805186,35.38775510204081,15.315226001099859,2.7959183673469385,17.276763713496862
19.387755102040817,14.91747701533191,35.63265306122449,15.33618652155881,2.877551020408163,17.78174676761629
19.79591836734694,15.2699163776881,35.87755102040816,15.356748677287955,2.9591836734693877,18.2867298401847
20.20408163265306,15.622525570372275,36.12244897959184,15.376923718052431,3.0408163265306123,18.791712929717118
20.612244897959183,15.975295558434375,36.36734693877551,15.396722473978443,3.1224489795918364,19.296696034883777
21.02040816326531,16.328217936627762,36.61224489795919,15.416155374939247,3.204081632653061,19.801679154490355
21.42857142857143,16.6812848754893,36.857142857142854,15.435232468876205,3.2857142857142856,20.306662287461155
21.836734693877553,17.034489072866545,37.10204081632653,15.453963439122688,3.36734693877551,20.811645432824733
22.244897959183675,17.38782371026065,37.3469387755102,15.472357620793476,3.4489795918367343,21.316628589701576
22.653061224489797,17.741282413435922,37.59183673469388,15.490424016297965,3.530612244897959,21.821611757293482
23.06122448979592,18.094859216817323,37.83673469387755,15.508171310031415,3.6122448979591835,22.32659493487434
23.46938775510204,18.44854853125774,38.08163265306122,15.525607882294475,3.693877551020408,22.831578121782222
23.877551020408163,18.802345114808542,38.326530612244895,15.542741822487987,3.7755102040816326,23.3365613174124
24.285714285714285,19.15624404617214,38.57142857142857,15.559580941626674,3.8571428571428568,23.841544521211336
24.693877551020407,19.5102407005536,38.816326530612244,15.576132784212326,3.9387755102040813,24.34652773267135
25.10204081632653,19.86433072766225,39.06122448979592,15.592404639504508,4.020408163265306,24.851510951325984
25.510204081632654,20.218510031643163,39.30612244897959,15.60840355222407,4.1020408163265305,25.356494176745883
25.918367346938776,20.572774752743864,39.55102040816327,15.62413633272254,4.183673469387754,25.86147740853521
26.3265306122449,20.927121250543717,39.79591836734694,15.639609566648193,4.26530612244898,26.366460646328402
26.73469387755102,21.281546088592727,40.04081632653061,15.65482962413768,4.346938775510203,26.87144388978733
27.142857142857142,21.63604602032356,40.285714285714285,15.669802668560102,4.428571428571429,27.376427138598828
27.551020408163264,21.990617976115242,40.53061224489796,15.68453466483878,4.5102040816326525,27.881410392472354
27.95918367346939,22.345259051400248,40.775510204081634,15.699031387374347,4.591836734693877,28.386393651138047
28.367346938775512,22.69996649571806,41.0204081632653,15.713298427591216,4.673469387755102,28.89137691434488
28.775510204081634,23.054737702628508,41.265306122448976,15.727341201128182,4.755102040816326,29.39636018185906
29.183673469387756,23.40957020040708,41.51020408163265,15.741164954692596,4.836734693877551,29.901343453462573
29.591836734693878,23.76446164345241,41.755102040816325,15.754774772596292,4.918367346938775,30.406326728951868
30.0,24.119409804343157,42.0,15.768175582990398,5.0,30.9113100081367
